"Domain","Category","Total Audience","Potential Audience","Audience Overlap, %","Audience Overlap"
"primerica.com","金融","1231737","428992","1.85%","22826"
"inboxhomescreen.com","n/a","1238914","436169","1.84%","22826"
"curve-crafts.com","n/a","1246572","443827","1.83%","22826"
"lightpdf.com","计算机软件和开发,信息科技","1256429","453684","1.82%","22826"
"qudurat.com","n/a","964419","161674","1.81%","17497"
"shopify.dev","在线服务,计算机软件和开发,信息科技","1267458","464713","1.8%","22826"
"elmonsf.com","n/a","972886","170141","1.8%","17497"
"yatradham.org","旅行和旅游","1480821","678076","1.8%","26586"
"roundtablepizza.com","餐饮,食品与饮料","1277067","474322","1.79%","22826"
"hadafakvideos.com","n/a","982942","180197","1.78%","17497"
"virginia.org","政府","1300714","497969","1.75%","22826"
"o2tv.org","n/a","1303197","500452","1.75%","22826"
"cashbee.co.kr","在线服务","1470228","667483","1.7%","25054"
"carbonite.com","信息科技,计算机软件和开发","1345733","542988","1.7%","22826"
"rpptrk.com","n/a","1347981","545236","1.69%","22826"
"dalilk4ielts.com","在线服务,知识","1034111","231366","1.69%","17497"
"cohesity.com","信息科技,计算机软件和开发","1355557","552812","1.68%","22826"
"samsungbrasil.net","n/a","802745","0","1.68%","13496"
"revistapsicologiaclinica.org","n/a","802745","0","1.68%","13496"
"malandrinhas.nr","n/a","802745","0","1.68%","13496"
"embremac.com.br","n/a","802745","0","1.68%","13496"
"web-sites.pt","在线服务","802777","32","1.68%","13496"
"netcine.vc","n/a","802840","95","1.68%","13496"
"litoraneadistribuidora.com.br","n/a","803225","480","1.68%","13496"
"designfeitoamao.com.br","在线服务","803225","480","1.68%","13496"
"clinicasulmineiratomosul.com.br","n/a","803225","480","1.68%","13496"
"cindumel.com.br","n/a","803225","480","1.68%","13496"
"bukone.com.br","n/a","803275","530","1.68%","13496"
"podcastle.ai","在线服务,大众媒体","1358631","555886","1.68%","22826"
"unipract.com.br","n/a","803403","658","1.68%","13496"
"campolacanianosp.com.br","n/a","803403","658","1.68%","13496"
"suspensys.com","汽车","803651","906","1.68%","13496"
"oticaschapeco.com.br","n/a","803707","962","1.68%","13496"
"iabv.com.br","n/a","804363","1618","1.68%","13496"
"rainhastragicas.com","在线服务","804919","2174","1.68%","13496"
"ronildoequipadora.com.br","n/a","804942","2197","1.68%","13496"
"caprigem.com.br","汽车","805145","2400","1.68%","13496"
"molasnoma.com.br","汽车","805814","3069","1.67%","13496"
"brskins.gg","n/a","806480","3735","1.67%","13496"
"farol.edu.br","知识","807124","4379","1.67%","13496"
"tamasapsicologia.com.br","n/a","807994","5249","1.67%","13496"
"bhgames.com.br","n/a","810184","7439","1.67%","13496"
"hodriniautopecas.com.br","n/a","811176","8431","1.66%","13496"
"dipecarr.com.br","零售,汽车","811895","9150","1.66%","13496"
"sorasa.com.br","汽车,零售","814464","11719","1.66%","13496"
"malandrinhas.ne","n/a","816241","13496","1.65%","13496"
"funneltools.com.br","n/a","816385","13640","1.65%","13496"
"malandrinhas.net","n/a","817326","14581","1.65%","13496"
"contosgays.net","n/a","817781","15036","1.65%","13496"
"ordemdafenixbrasileira.com","在线服务","818088","15343","1.65%","13496"
"psicoeduca.com.br","知识","818399","15654","1.65%","13496"
"hollywoodforevertv.com.br","n/a","820057","17312","1.65%","13496"
"casakose.com.br","n/a","820772","18027","1.64%","13496"
"playtubemais.com","n/a","821932","19187","1.64%","13496"
"alertarolim.com.br","n/a","822290","19545","1.64%","13496"
"cargobr.com","运输和物流","823786","21041","1.64%","13496"
"livroselivros.com.br","零售,出版","824959","22214","1.64%","13496"
"grupoautentica.com.br","出版,知识","827683","24938","1.63%","13496"
"icesp.br","知识","828067","25322","1.63%","13496"
"escortsaovivo.com","n/a","828181","25436","1.63%","13496"
"downloader.bot","n/a","1076556","273811","1.63%","17497"
"skeelo.app","n/a","830890","28145","1.62%","13496"
"cbk.com.br","知识","832756","30011","1.62%","13496"
"blogdoamarildo.com.br","n/a","833367","30622","1.62%","13496"
"superflixbr.org","n/a","833652","30907","1.62%","13496"
"appsecretspy.com","n/a","834756","32011","1.62%","13496"
"furrloveov.best","n/a","1412424","609679","1.62%","22826"
"hiperstream.com","计算机软件和开发,信息科技","835483","32738","1.62%","13496"
"rainhadoscontos.com","n/a","836079","33334","1.61%","13496"
"planetafolha.com.br","在线服务","836266","33521","1.61%","13496"
"qczukeud.com","n/a","837647","34902","1.61%","13496"
"didigalvao.com.br","n/a","838333","35588","1.61%","13496"
"studybaybrasil.club","n/a","839198","36453","1.61%","13496"
"banhospoderosos.info","在线服务","839258","36513","1.61%","13496"
"payme.vn","n/a","822816","20071","1.6%","13196"
"acasadosmacacos.com.br","零售,机械","842058","39313","1.6%","13496"
"opn.to","在线服务","1096435","293690","1.6%","17570"
"dalilk.link","n/a","1092675","289930","1.6%","17497"
"gfm-customer.web.app","n/a","843307","40562","1.6%","13496"
"numismaticacastro.com.br","n/a","843822","41077","1.6%","13496"
"tsmx.com.br","n/a","845443","42698","1.6%","13496"
"altoastral.com.br","在线服务","845897","43152","1.6%","13496"
"dalilk4english.com","n/a","1097444","294699","1.59%","17497"
"colorswitch.co","在线服务,大众媒体","1099094","296349","1.59%","17497"
"hogrefe.com.br","n/a","851890","49145","1.58%","13496"
"bookplay.com.br","在线服务","852792","50047","1.58%","13496"
"andelenergi.dk","n/a","1107337","304592","1.58%","17464"
"fzstudios.app","在线服务","1454864","652119","1.57%","22826"
"url.gratis","在线服务,信息科技","861262","58517","1.57%","13496"
"tcam.kr","n/a","802745","0","1.56%","12527"
"rworld.kr","n/a","802745","0","1.56%","12527"
"daesungmarket.com","n/a","802745","0","1.56%","12527"
"ppwdoc.co.kr","n/a","802772","27","1.56%","12527"
"moonja.net","n/a","802772","27","1.56%","12527"
"mit.or.kr","n/a","802772","27","1.56%","12527"
"h-5520.com","n/a","802772","27","1.56%","12527"
"dietforukoreaband.kr","n/a","802952","207","1.56%","12527"
"feely.co.kr","n/a","804129","1384","1.56%","12527"
"withplayers.com","n/a","804433","1688","1.56%","12527"
"vizerhd.red","n/a","867500","64755","1.56%","13496"
"nuget.org","计算机软件和开发,信息科技","1469220","666475","1.55%","22826"
"lightroom.kr","n/a","809046","6301","1.55%","12527"
"portalwheeling.com.br","在线服务,零售","873912","71167","1.54%","13496"
"hitee.co.kr","n/a","811535","8790","1.54%","12527"
"happisurvey.com","n/a","815272","12527","1.54%","12527"
"yakult.co.kr","在线服务","815327","12582","1.54%","12527"
"supertela.dev","n/a","880927","78182","1.53%","13496"
"sjajeju.kr","知识","817691","14946","1.53%","12527"
"square-community.com.au","n/a","820042","17297","1.53%","12527"
"ston.fi","n/a","1588361","785616","1.53%","24231"
"hondabigwing.in","汽车","1148231","345486","1.52%","17497"
"istay.io","n/a","824150","21405","1.52%","12527"
"trustage.com","保险,银行,金融","1503013","700268","1.52%","22826"
"accesshelptoday.com","n/a","1504839","702094","1.52%","22826"
"songdosoon.com","n/a","827799","25054","1.51%","12527"
"sungjinhds.com","n/a","828232","25487","1.51%","12527"
"applyto.kr","n/a","830221","27476","1.51%","12527"
"fujifilm-korea.co.kr","n/a","832745","30000","1.5%","12527"
"n-survey.co.kr","n/a","834199","31454","1.5%","12527"
"luxurygallery.co.kr","n/a","840196","37451","1.49%","12527"
"brainstorm.academy","远程学习,知识,培训和认证","911584","108839","1.48%","13496"
"artgy.or.kr","n/a","846428","43683","1.48%","12527"
"thedeliveryconference.com","运输和物流","802745","0","1.48%","11871"
"snackrite.com.au","n/a","802745","0","1.48%","11871"
"simpsonsremovalsmcr.co.uk","n/a","802745","0","1.48%","11871"
"salty.fashion","n/a","802745","0","1.48%","11871"
"pluralstrategy.com","咨询","802745","0","1.48%","11871"
"db.co.uk","n/a","802745","0","1.48%","11871"
"attractsuperconfidence.com","n/a","802746","1","1.48%","11871"
"fromtoday.co.uk","n/a","802857","112","1.48%","11871"
"123work.net","n/a","802858","113","1.48%","11871"
"blackmontconsulting.com","n/a","802916","171","1.48%","11871"
"eyadventureawaits.co.uk","n/a","802923","178","1.48%","11871"
"foodstrategy.co.uk","出版","802938","193","1.48%","11871"
"investalert.ai","n/a","802939","194","1.48%","11871"
"3horizons.com","n/a","802957","212","1.48%","11871"
"thirdeyeconsulting.co.uk","n/a","802976","231","1.48%","11871"
"rmp-connect.com","政府","803138","393","1.48%","11871"
"jobarz.com","n/a","803200","455","1.48%","11871"
"onlinejob247.com","n/a","803221","476","1.48%","11871"
"closenesshistorian.com","n/a","803637","892","1.48%","11871"
"faceconference.com","n/a","803667","922","1.48%","11871"
"giftbagshop.co.uk","包装和容器,零售","803694","949","1.48%","11871"
"genwise.club","n/a","803733","988","1.48%","11871"
"billclarkbugsperts.com","客户服务,生态和环境","803794","1049","1.48%","11871"
"aldstg2wfecmwa.azurewebsites.net","n/a","804123","1378","1.48%","11871"
"mandeepautoindustries.com","n/a","804273","1528","1.48%","11871"
"cex.events","n/a","804427","1682","1.48%","11871"
"cromaskincareshop.com","n/a","804555","1810","1.48%","11871"
"co-operativebankjobs.co.uk","n/a","804558","1813","1.48%","11871"
"moainstitute.com","n/a","804643","1898","1.48%","11871"
"internshipshedge.com","n/a","804902","2157","1.47%","11871"
"huntsmanpestcontrol.co.uk","n/a","804948","2203","1.47%","11871"
"metyis.com","在线服务","805488","2743","1.47%","11871"
"netcine.tf","n/a","915933","113188","1.47%","13496"
"antonimos.com.br","知识","916889","114144","1.47%","13496"
"bcgbrighthouse.com","n/a","806494","3749","1.47%","11871"
"caliz777.com","n/a","851184","48439","1.47%","12527"
"delta-cgi.com","法律","806728","3983","1.47%","11871"
"yonderconsulting.com","市场研究,计算机软件和开发,信息科技","806874","4129","1.47%","11871"
"q5partners.com","n/a","807042","4297","1.47%","11871"
"mill-all.com","n/a","807745","5000","1.47%","11871"
"news-beacon.cc","n/a","1809431","1006686","1.47%","26586"
"247internshipspro.com","n/a","808202","5457","1.47%","11871"
"blackstoneproducts.com","零售,食品与饮料","1554807","752062","1.47%","22826"
"internshipsguru.online","n/a","809057","6312","1.47%","11871"
"linkgurd.site","n/a","809066","6321","1.47%","11871"
"lustdownloader.site","n/a","809606","6861","1.47%","11871"
"scamalytics.com","在线服务,信息科技,电信","1556984","754239","1.47%","22826"
"malt.uk","n/a","809827","7082","1.47%","11871"
"bcghendersoninstitute.com","n/a","811014","8269","1.46%","11871"
"mag-careers.com","n/a","811149","8404","1.46%","11871"
"bart.gov","政府,运输和物流","1561317","758572","1.46%","22826"
"mayconsulting.es","n/a","812395","9650","1.46%","11871"
"zoom.red","n/a","1563651","760906","1.46%","22826"
"deliver.events","在线服务","813547","10802","1.46%","11871"
"altmansolon.com","n/a","813630","10885","1.46%","11871"
"occstrategy.com","咨询,广告和营销","813753","11008","1.46%","11871"
"studentships.online","n/a","814357","11612","1.46%","11871"
"elixirr.com","信息科技,计算机软件和开发","814373","11628","1.46%","11871"
"clinicanasnuvens.com.br","计算机软件和开发,健康","926057","123312","1.46%","13496"
"khyaal.com","n/a","814919","12174","1.46%","11871"
"collinsongrant.com","n/a","815522","12777","1.46%","11871"
"fanfiction.com.br","在线服务,大众媒体,娱乐,知识","927209","124464","1.46%","13496"
"rkycareers.com","n/a","815690","12945","1.46%","11871"
"boris-software.com","建筑和维护","816012","13267","1.45%","11871"
"studentapprenticeships.co.uk","n/a","816059","13314","1.45%","11871"
"prugio-grandbleu.com","n/a","861321","58576","1.45%","12527"
"infolivros.org","知识,在线服务","928939","126194","1.45%","13496"
"unboxpizzanight.com","n/a","817410","14665","1.45%","11871"
"tikehaucapital.com","金融,投资,风险投资","817985","15240","1.45%","11871"
"proactuary.com","知识","818849","16104","1.45%","11871"
"bluegoose.co.uk","广告和营销","820158","17413","1.45%","11871"
"universocinema.com.br","n/a","932565","129820","1.45%","13496"
"forecruit-elite.com","n/a","821397","18652","1.45%","11871"
"knoops.co.uk","食品与饮料","821417","18672","1.45%","11871"
"himart.co.kr","n/a","867426","64681","1.44%","12527"
"gsdcouncil.org","信息科技,培训和认证,知识","823207","20462","1.44%","11871"
"bonsaiprolink.site","n/a","823433","20688","1.44%","11871"
"getfeedback.com","计算机软件和开发,在线服务,信息科技","1583816","781071","1.44%","22826"
"likesyou.org","在线服务,大众媒体","825417","22672","1.44%","11871"
"vinaphoneplus.com.vn","n/a","917785","115040","1.44%","13196"
"3i.com","n/a","826186","23441","1.44%","11871"
"studentladder.co.uk","n/a","826289","23544","1.44%","11871"
"fazersexo.com","n/a","940490","137745","1.43%","13496"
"tallysolutions.com","计算机软件和开发,会计和审计,金融","1854386","1051641","1.43%","26586"
"londonschoolofbarbering.com","知识,客户服务","828209","25464","1.43%","11871"
"lightningboltcareers.com","n/a","829688","26943","1.43%","11871"
"evepaper.com","n/a","829946","27201","1.43%","11871"
"onlinejobsuk.xyz","n/a","830195","27450","1.43%","11871"
"nordiccapital.com","n/a","830319","27574","1.43%","11871"
"accessipos.com","金融,大众媒体","830513","27768","1.43%","11871"
"helpwhereyouare.com","n/a","830942","28197","1.43%","11871"
"internsgrab.com","n/a","831513","28768","1.43%","11871"
"hobbitbobbit.com","n/a","1863051","1060306","1.43%","26586"
"krfunnyissue.co.kr","n/a","878551","75806","1.43%","12527"
"savecobradford.co.uk","食品与饮料,零售,在线服务","832566","29821","1.43%","11871"
"ambertrack.global","n/a","833969","31224","1.42%","11871"
"fzmovies.live","n/a","1604250","801505","1.42%","22826"
"internshipsworld.net","n/a","834343","31598","1.42%","11871"
"beauhurst.com","n/a","834516","31771","1.42%","11871"
"clark.com","大众媒体,在线服务","1605711","802966","1.42%","22826"
"internshipsphere.com","n/a","836646","33901","1.42%","11871"
"fantasticpestcontrol.co.uk","客户服务,生态和环境","836710","33965","1.42%","11871"
"pobreflix.nu","n/a","951341","148596","1.42%","13496"
"kimirica.shop","美容和化妆,零售,在线服务","838950","36205","1.41%","11871"
"huzzle.app","n/a","839252","36507","1.41%","11871"
"haldiramuk.com","n/a","840922","38177","1.41%","11871"
"dco8qpr7cjqmu.cloudfront.net","n/a","843909","41164","1.41%","11871"
"simon-kucher.com","咨询","844693","41948","1.41%","11871"
"ratemyplacement.co.uk","知识,在线服务","845305","42560","1.4%","11871"
"oyaop.com","知识,非营利组织","845325","42580","1.4%","11871"
"sianet.net.pe","n/a","806563","3818","1.4%","11312"
"filebogo.com","n/a","893197","90452","1.4%","12527"
"maginfrastructure.com","n/a","847852","45107","1.4%","11871"
"arthgyaan.com","n/a","847906","45161","1.4%","11871"
"givemecosmetics.com","美容和化妆,零售","848327","45582","1.4%","11871"
"graduate-jobs.com","招聘和人员配备,大众媒体","849001","46256","1.4%","11871"
"social.link","n/a","965268","162523","1.4%","13496"
"med24.dk","零售,制药","1251205","448460","1.4%","17464"
"rgs.org","知识,出版","851729","48984","1.39%","11871"
"pinnaxis.com","n/a","1642075","839330","1.39%","22826"
"gentok.net","n/a","908450","105705","1.38%","12527"
"orderpay.com","n/a","860907","58162","1.38%","11871"
"dominosrecruitment.co.uk","在线服务,餐饮","861496","58751","1.38%","11871"
"deutsche-boerse.com","金融","862324","59579","1.38%","11871"
"amway.co.kr","零售","910298","107553","1.38%","12527"
"milkround.com","招聘和人员配备,大众媒体","864196","61451","1.37%","11871"
"clubevapor.com","n/a","984822","182077","1.37%","13496"
"wordsquare.org","n/a","916903","114158","1.37%","12527"
"magairports.com","航空业,运输和物流","871819","69074","1.36%","11871"
"consultancy.uk","咨询","873341","70596","1.36%","11871"
"open.go.kr","政府","922571","119826","1.36%","12527"
"everyonein.co.uk","n/a","874269","71524","1.36%","11871"
"wornontv.net","大众媒体,娱乐","996118","193373","1.35%","13496"
"myconsultingoffer.org","咨询,知识","876600","73855","1.35%","11871"
"unisuam.edu.br","知识","997363","194618","1.35%","13496"
"drogalider.com.br","零售","997493","194748","1.35%","13496"
"8link.cc","n/a","1294241","491496","1.35%","17497"
"group.softbank","n/a","878739","75994","1.35%","11871"
"ukvisajobs.com","n/a","886194","83449","1.34%","11871"
"i-movo.com","在线服务","886269","83524","1.34%","11871"
"go-forth.com","客户服务,生态和环境,设施服务","887843","85098","1.34%","11871"
"takepartinresearch.co.uk","市场研究,科技","888592","85847","1.34%","11871"
"cynergybank.co.uk","银行,金融","889759","87014","1.33%","11871"
"lustesthd.fun","n/a","890592","87847","1.33%","11871"
"deloitte.co.uk","n/a","890793","88048","1.33%","11871"
"bomberosperu.gob.pe","政府","851135","48390","1.33%","11312"
"bnviit.com","n/a","942589","139844","1.33%","12527"
"oliverwyman.com","咨询","894370","91625","1.33%","11871"
"puig.com","零售","894804","92059","1.33%","11871"
"labusinessjournal.com","出版,报纸","898526","95781","1.32%","11871"
"superflix.love","n/a","1022146","219401","1.32%","13496"
"wbs.ac.uk","知识","900515","97770","1.32%","11871"
"lek.com","咨询","901993","99248","1.32%","11871"
"graduatesfirst.com","知识,人力资源","903419","100674","1.31%","11871"
"fiduciascm.digital","n/a","1028067","225322","1.31%","13496"
"ff.com","n/a","905710","102965","1.31%","11871"
"authorbench.com","n/a","906063","103318","1.31%","11871"
"bdo.co.uk","会计和审计,金融","908681","105936","1.31%","11871"
"amazonstock.com","在线服务,金融,大众媒体","909622","106877","1.31%","11871"
"ebrd.com","进口和出口","910487","107742","1.3%","11871"
"pixeluniverse.com.br","n/a","1035720","232975","1.3%","13496"
"rolandberger.com","n/a","913740","110995","1.3%","11871"
"overflix.black","n/a","1038945","236200","1.3%","13496"
"everygoal.co.uk","n/a","915443","112698","1.3%","11871"
"dabagirl.co.kr","在线服务","967577","164832","1.29%","12527"
"globalgovernanceinitiative.org","知识","917812","115067","1.29%","11871"
"equinor.com","石油与天然气,可再生能源","919175","116430","1.29%","11871"
"tortilla.co.uk","餐饮,食品与饮料","922070","119325","1.29%","11871"
"buk.pe","n/a","879719","76974","1.29%","11312"
"dollarflightclub.com","旅行和旅游,航空业","923430","120685","1.29%","11871"
"justdancenow.com","n/a","1049899","247154","1.29%","13496"
"foxy.in","美容和化妆,在线服务,零售","923859","121114","1.28%","11871"
"kpmgcareers.co.uk","n/a","924624","121879","1.28%","11871"
"checkpoint.com","信息科技,计算机软件和开发","1781765","979020","1.28%","22826"
"darksidebooks.com.br","零售,大众媒体","1056102","253357","1.28%","13496"
"blog.youtube","在线服务,广告和营销","1792201","989456","1.27%","22826"
"amazonuniversity.jobs","在线服务","933583","130838","1.27%","11871"
"shl.uk","医疗保健,健康","933781","131036","1.27%","11871"
"hearheart.com","n/a","989324","186579","1.27%","12527"
"happytalkio.com","n/a","989802","187057","1.27%","12527"
"macroaxis.com","金融","938910","136165","1.26%","11871"
"motorbiscuit.com","汽车,在线服务,大众媒体","1810008","1007263","1.26%","22826"
"infodebolso.top","n/a","1072064","269319","1.26%","13496"
"alphasights.com","n/a","943388","140643","1.26%","11871"
"seriesonlinemax.to","n/a","1072981","270236","1.26%","13496"
"beapplied.com","计算机软件和开发,招聘和人员配备","944762","142017","1.26%","11871"
"starfield.co.kr","零售","998267","195522","1.25%","12527"
"career-inspiration.com","政府","946533","143788","1.25%","11871"
"tokensniffer.com","在线服务,大众媒体,信息科技","1004307","201562","1.25%","12527"
"namyangi.com","在线服务,大众媒体","1006569","203824","1.24%","12527"
"wahojobs.com","n/a","953867","151122","1.24%","11871"
"joblagii.com","n/a","955236","152491","1.24%","11871"
"freeprivacypolicy.com","信息科技,法律,在线服务","1838463","1035718","1.24%","22826"
"withinapi.com","n/a","1009813","207068","1.24%","12527"
"prod-darwin.com","n/a","957132","154387","1.24%","11871"
"cashslide.co.kr","在线服务","1015354","212609","1.23%","12527"
"ef.com.br","知识,远程学习,旅行和旅游","1095369","292624","1.23%","13496"
"trackingmore.com","运输和物流,邮件和包裹递送","1859894","1057149","1.23%","22826"
"superbolsobrasil.org","n/a","1101633","298888","1.23%","13496"
"mastercardservices.com","金融,信息科技,银行","969219","166474","1.22%","11871"
"dvinci-hr.com","在线服务","969349","166604","1.22%","11871"
"gmfinancial.com","汽车,金融","1866651","1063906","1.22%","22826"
"mottmac.com","土木工程","972451","169706","1.22%","11871"
"feedposting.com","n/a","1026828","224083","1.22%","12527"
"ccrs.or.kr","n/a","1026961","224216","1.22%","12527"
"overflix.dad","n/a","1109466","306721","1.22%","13496"
"qs.com","知识","976020","173275","1.22%","11871"
"shiaonlinelibrary.com","大众媒体,报纸,知识","1853090","1050345","1.2%","22302"
